deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
200, 0.005, 7, 12, 34.826, 34.805, 0.340, 34.377, 35.233 , OK
70, 0.014, 7, 12, 31.129, 31.150, 0.229, 30.798, 31.501 , OK
175, 0.006, 7, 12, 34.283, 34.321, 0.248, 33.955, 34.687 , OK
15, 0.067, 7, 12, 22.632, 22.595, 0.037, 22.454, 22.735 , OK
75, 0.013, 7, 12, 31.519, 31.555, 0.121, 31.299, 31.810 , OK
125, 0.008, 7, 12, 33.772, 33.751, 0.386, 33.294, 34.207 , OK
80, 0.013, 7, 12, 31.047, 31.070, 0.096, 30.842, 31.298 , OK
55, 0.018, 7, 12, 29.764, 29.787, 0.413, 29.315, 30.259 , OK
95, 0.011, 7, 12, 32.505, 32.480, 0.642, 31.891, 33.068 , OK
33, 0.030, 7, 12, 26.995, 26.987, 0.209, 26.651, 27.323 , OK
100, 0.010, 7, 12, 32.744, 32.796, 0.289, 32.401, 33.191 , OK
40, 0.025, 7, 12, 27.844, 27.802, 0.205, 27.470, 28.134 , OK
60, 0.017, 7, 12, 30.191, 30.304, 0.226, 29.955, 30.653 , OK
85, 0.012, 7, 12, 32.106, 32.021, 0.094, 31.795, 32.247 , OK
45, 0.022, 7, 12, 28.772, 28.686, 0.182, 28.373, 28.999 , OK
65, 0.015, 7, 12, 30.827, 30.868, 0.746, 30.233, 31.502 , OK
90, 0.011, 7, 12, 32.274, 32.261, 0.392, 31.801, 32.721 , OK
25, 0.040, 7, 12, 25.504, 25.517, 0.481, 25.008, 26.027 , OK
150, 0.007, 7, 12, 34.349, 34.316, 1.117, 33.540, 35.093 , OK
50, 0.020, 7, 12, 29.609, 29.649, 0.227, 29.299, 29.999 , OK
20, 0.050, 7, 12, 24.344, 24.394, 0.089, 24.175, 24.613 , OK
