deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
200, 0.005, 5, 10, 310.715, 312.884, 118.807, 302.493, 323.276 , OK
70, 0.014, 5, 10, 253.560, 255.704, 80.147, 247.169, 264.240 , OK
175, 0.006, 5, 10, 301.860, 298.537, 89.343, 289.525, 307.548 , OK
15, 0.067, 5, 10, 145.247, 144.146, 5.098, 141.994, 146.299 , OK
75, 0.013, 5, 10, 257.617, 258.514, 23.097, 253.932, 263.096 , OK
125, 0.008, 5, 10, 291.452, 289.395, 9.906, 286.394, 292.396 , OK
80, 0.013, 5, 10, 253.892, 253.347, 23.636, 248.712, 257.982 , OK
55, 0.018, 5, 10, 234.326, 234.751, 65.133, 227.057, 242.446 , OK
95, 0.011, 5, 10, 273.915, 272.677, 65.922, 264.936, 280.418 , OK
33, 0.030, 5, 10, 197.478, 197.259, 11.308, 194.053, 200.465 , OK
100, 0.010, 5, 10, 277.101, 278.665, 136.612, 267.521, 289.808 , OK
40, 0.025, 5, 10, 209.078, 210.213, 16.250, 206.369, 214.056 , OK
60, 0.017, 5, 10, 240.639, 240.305, 39.462, 234.316, 246.294 , OK
85, 0.012, 5, 10, 267.062, 265.598, 15.107, 261.892, 269.303 , OK
45, 0.022, 5, 10, 219.843, 218.756, 7.012, 216.231, 221.280 , OK
65, 0.015, 5, 10, 248.532, 244.516, 24.084, 239.838, 249.195 , OK
90, 0.011, 5, 10, 270.273, 272.993, 94.545, 263.723, 282.263 , OK
25, 0.040, 5, 10, 178.163, 178.780, 24.747, 174.037, 183.523 , OK
150, 0.007, 5, 10, 301.413, 301.143, 218.958, 287.035, 315.250 , OK
50, 0.020, 5, 10, 230.766, 229.873, 3.705, 228.038, 231.708 , OK
20, 0.050, 5, 10, 163.876, 164.767, 5.692, 162.492, 167.041 , OK
