deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
200, 0.005, 5, 10, 34.826, 34.959, 0.908, 34.051, 35.867 , OK
70, 0.014, 5, 10, 31.129, 31.270, 0.717, 30.462, 32.077 , OK
175, 0.006, 5, 10, 34.283, 34.051, 0.630, 33.294, 34.808 , OK
15, 0.067, 5, 10, 22.632, 22.456, 0.084, 22.180, 22.732 , OK
75, 0.013, 5, 10, 31.519, 31.591, 0.142, 31.232, 31.950 , OK
125, 0.008, 5, 10, 33.772, 33.666, 0.146, 33.302, 34.030 , OK
80, 0.013, 5, 10, 31.047, 30.995, 0.294, 30.478, 31.512 , OK
55, 0.018, 5, 10, 29.764, 29.777, 0.570, 29.057, 30.497 , OK
95, 0.011, 5, 10, 32.505, 32.462, 0.383, 31.872, 33.052 , OK
33, 0.030, 5, 10, 26.995, 26.943, 0.159, 26.563, 27.323 , OK
100, 0.010, 5, 10, 32.744, 32.931, 0.958, 31.998, 33.864 , OK
40, 0.025, 5, 10, 27.844, 27.990, 0.151, 27.619, 28.361 , OK
60, 0.017, 5, 10, 30.191, 30.182, 0.346, 29.621, 30.743 , OK
85, 0.012, 5, 10, 32.106, 31.930, 0.180, 31.525, 32.335 , OK
45, 0.022, 5, 10, 28.772, 28.700, 0.129, 28.357, 29.043 , OK
65, 0.015, 5, 10, 30.827, 30.407, 0.309, 29.876, 30.937 , OK
90, 0.011, 5, 10, 32.274, 32.586, 0.803, 31.731, 33.440 , OK
25, 0.040, 5, 10, 25.504, 25.586, 0.341, 25.029, 26.143 , OK
150, 0.007, 5, 10, 34.349, 34.345, 1.711, 33.098, 35.592 , OK
50, 0.020, 5, 10, 29.609, 29.542, 0.053, 29.323, 29.762 , OK
20, 0.050, 5, 10, 24.344, 24.502, 0.105, 24.193, 24.811 , OK
