deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
200, 0.005, 5, 10, 3.907, 3.910, 0.007, 3.830, 3.991 , OK
70, 0.014, 5, 10, 3.825, 3.827, 0.006, 3.751, 3.904 , OK
175, 0.006, 5, 10, 3.898, 3.888, 0.004, 3.829, 3.947 , OK
15, 0.067, 5, 10, 3.527, 3.499, 0.001, 3.465, 3.533 , OK
75, 0.013, 5, 10, 3.859, 3.863, 0.001, 3.829, 3.897 , OK
125, 0.008, 5, 10, 3.917, 3.919, 0.003, 3.872, 3.967 , OK
80, 0.013, 5, 10, 3.799, 3.794, 0.004, 3.736, 3.852 , OK
55, 0.018, 5, 10, 3.783, 3.779, 0.004, 3.717, 3.842 , OK
95, 0.011, 5, 10, 3.862, 3.869, 0.002, 3.831, 3.907 , OK
33, 0.030, 5, 10, 3.691, 3.681, 0.003, 3.633, 3.729 , OK
100, 0.010, 5, 10, 3.873, 3.895, 0.005, 3.826, 3.963 , OK
40, 0.025, 5, 10, 3.710, 3.728, 0.001, 3.697, 3.760 , OK
60, 0.017, 5, 10, 3.789, 3.792, 0.003, 3.741, 3.843 , OK
85, 0.012, 5, 10, 3.862, 3.841, 0.002, 3.796, 3.885 , OK
45, 0.022, 5, 10, 3.767, 3.767, 0.003, 3.718, 3.816 , OK
65, 0.015, 5, 10, 3.826, 3.783, 0.004, 3.721, 3.845 , OK
90, 0.011, 5, 10, 3.856, 3.892, 0.007, 3.814, 3.969 , OK
25, 0.040, 5, 10, 3.652, 3.663, 0.004, 3.600, 3.726 , OK
150, 0.007, 5, 10, 3.919, 3.921, 0.011, 3.819, 4.023 , OK
50, 0.020, 5, 10, 3.801, 3.799, 0.001, 3.772, 3.826 , OK
20, 0.050, 5, 10, 3.617, 3.644, 0.002, 3.601, 3.687 , OK
