deadline, reneging rate, batch, obs, MEC, mean, variance, minVal, maxVal, included
200, 0.005, 5, 10, 2.262, 2.262, 0.002, 2.217, 2.307 , OK
70, 0.014, 5, 10, 2.265, 2.264, 0.002, 2.221, 2.307 , OK
175, 0.006, 5, 10, 2.264, 2.260, 0.001, 2.229, 2.291 , OK
15, 0.067, 5, 10, 2.216, 2.198, 0.000, 2.178, 2.218 , OK
75, 0.013, 5, 10, 2.283, 2.285, 0.001, 2.263, 2.306 , OK
125, 0.008, 5, 10, 2.286, 2.290, 0.001, 2.261, 2.319 , OK
80, 0.013, 5, 10, 2.247, 2.244, 0.001, 2.210, 2.278 , OK
55, 0.018, 5, 10, 2.259, 2.256, 0.001, 2.222, 2.289 , OK
95, 0.011, 5, 10, 2.268, 2.273, 0.000, 2.254, 2.293 , OK
33, 0.030, 5, 10, 2.245, 2.238, 0.001, 2.209, 2.267 , OK
100, 0.010, 5, 10, 2.272, 2.284, 0.001, 2.249, 2.319 , OK
40, 0.025, 5, 10, 2.242, 2.252, 0.000, 2.236, 2.269 , OK
60, 0.017, 5, 10, 2.256, 2.258, 0.001, 2.229, 2.286 , OK
85, 0.012, 5, 10, 2.275, 2.262, 0.001, 2.236, 2.288 , OK
45, 0.022, 5, 10, 2.266, 2.267, 0.001, 2.237, 2.298 , OK
65, 0.015, 5, 10, 2.271, 2.247, 0.001, 2.210, 2.284 , OK
90, 0.011, 5, 10, 2.268, 2.288, 0.002, 2.245, 2.331 , OK
25, 0.040, 5, 10, 2.246, 2.253, 0.001, 2.217, 2.289 , OK
150, 0.007, 5, 10, 2.278, 2.280, 0.003, 2.226, 2.333 , OK
50, 0.020, 5, 10, 2.276, 2.275, 0.000, 2.259, 2.291 , OK
20, 0.050, 5, 10, 2.246, 2.263, 0.001, 2.237, 2.290 , OK
