deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
60, 0.017, 5, 10, 36.879, 36.500, 0.223, 36.050, 36.950 , OK
150, 0.007, 5, 10, 37.002, 36.893, 0.247, 36.420, 37.366 , OK
175, 0.006, 5, 10, 37.086, 37.036, 1.974, 35.697, 38.376 , OK
45, 0.022, 5, 10, 37.769, 37.186, 0.317, 36.649, 37.723 
25, 0.040, 5, 10, 38.931, 39.017, 0.694, 38.223, 39.811 , OK
65, 0.015, 5, 10, 37.031, 37.126, 0.280, 36.621, 37.631 , OK
50, 0.020, 5, 10, 37.174, 37.460, 0.749, 36.635, 38.285 , OK
55, 0.018, 5, 10, 36.668, 36.463, 0.218, 36.018, 36.908 , OK
70, 0.014, 5, 10, 37.068, 36.715, 0.557, 36.003, 37.427 , OK
125, 0.008, 5, 10, 37.436, 37.684, 0.645, 36.918, 38.450 , OK
75, 0.013, 5, 10, 36.579, 36.235, 0.526, 35.543, 36.926 , OK
95, 0.011, 5, 10, 37.197, 36.970, 0.973, 36.030, 37.911 , OK
200, 0.005, 5, 10, 37.280, 36.814, 0.443, 36.179, 37.448 , OK
85, 0.012, 5, 10, 36.789, 36.716, 0.708, 35.913, 37.518 , OK
15, 0.067, 5, 10, 42.239, 41.499, 0.945, 40.572, 42.426 , OK
33, 0.030, 5, 10, 37.508, 37.625, 0.350, 37.061, 38.188 , OK
20, 0.050, 5, 10, 40.951, 41.287, 0.520, 40.599, 41.974 , OK
100, 0.010, 5, 10, 36.821, 36.887, 0.074, 36.627, 37.146 , OK
90, 0.011, 5, 10, 36.969, 37.073, 0.773, 36.235, 37.912 , OK
80, 0.013, 5, 10, 37.021, 37.385, 1.386, 36.263, 38.508 , OK
40, 0.025, 5, 10, 37.260, 37.188, 0.463, 36.539, 37.837 , OK
