deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
60, 0.017, 7, 12, 4.847, 4.863, 0.026, 4.745, 4.980 , OK
150, 0.007, 7, 12, 4.412, 4.410, 0.003, 4.368, 4.453 , OK
175, 0.006, 7, 12, 4.376, 4.377, 0.010, 4.304, 4.450 , OK
45, 0.022, 7, 12, 5.089, 5.098, 0.012, 5.017, 5.179 , OK
25, 0.040, 7, 12, 5.451, 5.453, 0.004, 5.404, 5.501 , OK
65, 0.015, 7, 12, 4.823, 4.830, 0.011, 4.753, 4.906 , OK
50, 0.020, 7, 12, 4.960, 4.974, 0.006, 4.918, 5.030 , OK
55, 0.018, 7, 12, 4.889, 4.884, 0.002, 4.853, 4.914 , OK
70, 0.014, 7, 12, 4.780, 4.765, 0.005, 4.712, 4.818 , OK
125, 0.008, 7, 12, 4.532, 4.541, 0.003, 4.499, 4.582 , OK
75, 0.013, 7, 12, 4.703, 4.690, 0.015, 4.598, 4.781 , OK
95, 0.011, 7, 12, 4.635, 4.622, 0.009, 4.553, 4.691 , OK
200, 0.005, 7, 12, 4.361, 4.351, 0.002, 4.314, 4.387 , OK
85, 0.012, 7, 12, 4.652, 4.665, 0.004, 4.618, 4.712 , OK
15, 0.067, 7, 12, 5.923, 5.920, 0.006, 5.864, 5.976 , OK
33, 0.030, 7, 12, 5.200, 5.198, 0.014, 5.110, 5.286 , OK
20, 0.050, 7, 12, 5.707, 5.719, 0.007, 5.657, 5.781 , OK
100, 0.010, 7, 12, 4.581, 4.588, 0.006, 4.532, 4.645 , OK
90, 0.011, 7, 12, 4.649, 4.647, 0.006, 4.592, 4.703 , OK
80, 0.013, 7, 12, 4.708, 4.701, 0.005, 4.649, 4.753 , OK
40, 0.025, 7, 12, 5.091, 5.103, 0.010, 5.030, 5.177 , OK
