deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
60, 0.017, 7, 12, 36.879, 37.051, 2.926, 35.795, 38.308 , OK
150, 0.007, 7, 12, 37.002, 36.999, 0.497, 36.481, 37.517 , OK
175, 0.006, 7, 12, 37.086, 37.049, 1.106, 36.277, 37.821 , OK
45, 0.022, 7, 12, 37.769, 37.829, 1.168, 37.035, 38.622 , OK
25, 0.040, 7, 12, 38.931, 38.868, 0.321, 38.451, 39.284 , OK
65, 0.015, 7, 12, 37.031, 37.079, 0.889, 36.387, 37.772 , OK
50, 0.020, 7, 12, 37.174, 37.306, 0.672, 36.703, 37.908 , OK
55, 0.018, 7, 12, 36.668, 36.601, 0.209, 36.265, 36.937 , OK
70, 0.014, 7, 12, 37.068, 36.938, 0.505, 36.416, 37.459 , OK
125, 0.008, 7, 12, 37.436, 37.542, 0.424, 37.064, 38.020 , OK
75, 0.013, 7, 12, 36.579, 36.437, 1.373, 35.576, 37.297 , OK
95, 0.011, 7, 12, 37.197, 37.067, 1.160, 36.276, 37.858 , OK
200, 0.005, 7, 12, 37.280, 37.126, 0.222, 36.780, 37.471 , OK
85, 0.012, 7, 12, 36.789, 36.889, 0.568, 36.335, 37.443 , OK
15, 0.067, 7, 12, 42.239, 42.213, 1.127, 41.433, 42.992 , OK
33, 0.030, 7, 12, 37.508, 37.536, 1.117, 36.760, 38.313 , OK
20, 0.050, 7, 12, 40.951, 41.100, 0.715, 40.479, 41.721 , OK
100, 0.010, 7, 12, 36.821, 36.918, 0.759, 36.278, 37.558 , OK
90, 0.011, 7, 12, 36.969, 36.927, 0.672, 36.325, 37.529 , OK
80, 0.013, 7, 12, 37.021, 36.978, 0.566, 36.426, 37.531 , OK
40, 0.025, 7, 12, 37.260, 37.378, 0.759, 36.738, 38.018 , OK
