deadline, reneging rate, batch, obs, ERWP, mean, variance, minVal, maxVal, included
60, 0.017, 5, 10, 4.847, 4.807, 0.002, 4.761, 4.852 , OK
150, 0.007, 5, 10, 4.412, 4.408, 0.004, 4.349, 4.467 , OK
175, 0.006, 5, 10, 4.376, 4.378, 0.014, 4.263, 4.492 , OK
45, 0.022, 5, 10, 5.089, 5.023, 0.004, 4.961, 5.084 
25, 0.040, 5, 10, 5.451, 5.481, 0.002, 5.439, 5.524 , OK
65, 0.015, 5, 10, 4.823, 4.836, 0.003, 4.783, 4.890 , OK
50, 0.020, 5, 10, 4.960, 4.993, 0.006, 4.920, 5.065 , OK
55, 0.018, 5, 10, 4.889, 4.882, 0.003, 4.829, 4.935 , OK
70, 0.014, 5, 10, 4.780, 4.736, 0.003, 4.680, 4.792 , OK
125, 0.008, 5, 10, 4.532, 4.554, 0.004, 4.497, 4.612 , OK
75, 0.013, 5, 10, 4.703, 4.666, 0.007, 4.586, 4.746 , OK
95, 0.011, 5, 10, 4.635, 4.610, 0.007, 4.528, 4.692 , OK
200, 0.005, 5, 10, 4.361, 4.317, 0.003, 4.266, 4.367 , OK
85, 0.012, 5, 10, 4.652, 4.665, 0.006, 4.591, 4.738 , OK
15, 0.067, 5, 10, 5.923, 5.866, 0.005, 5.802, 5.931 , OK
33, 0.030, 5, 10, 5.200, 5.206, 0.004, 5.150, 5.263 , OK
20, 0.050, 5, 10, 5.707, 5.729, 0.004, 5.672, 5.787 , OK
100, 0.010, 5, 10, 4.581, 4.582, 0.001, 4.557, 4.607 , OK
90, 0.011, 5, 10, 4.649, 4.658, 0.008, 4.575, 4.741 , OK
80, 0.013, 5, 10, 4.708, 4.731, 0.015, 4.614, 4.848 , OK
40, 0.025, 5, 10, 5.091, 5.076, 0.008, 4.993, 5.160 , OK
