deadline, reneging rate, batch, obs, MRT, mean, variance, minVal, maxVal, included
60, 0.017, 5, 10, 466.521, 460.474, 67.586, 452.636, 468.312 , OK
150, 0.007, 5, 10, 528.748, 525.712, 59.527, 518.356, 533.068 , OK
175, 0.006, 5, 10, 536.880, 535.043, 780.636, 508.405, 561.680 , OK
45, 0.022, 5, 10, 463.161, 454.625, 84.976, 445.837, 463.414 , OK
25, 0.040, 5, 10, 455.236, 454.180, 304.794, 437.535, 470.824 , OK
65, 0.015, 5, 10, 473.646, 474.736, 80.760, 466.168, 483.304 , OK
50, 0.020, 5, 10, 461.461, 465.600, 239.824, 450.836, 480.365 , OK
55, 0.018, 5, 10, 455.523, 450.595, 62.152, 443.079, 458.112 , OK
70, 0.014, 5, 10, 480.109, 475.291, 222.005, 461.086, 489.496 , OK
125, 0.008, 5, 10, 524.708, 529.427, 305.720, 512.757, 546.097 , OK
75, 0.013, 5, 10, 475.574, 470.099, 118.486, 459.721, 480.477 , OK
95, 0.011, 5, 10, 502.888, 499.329, 344.717, 481.628, 517.030 , OK
200, 0.005, 5, 10, 545.717, 537.248, 195.153, 523.930, 550.567 , OK
85, 0.012, 5, 10, 488.296, 484.474, 233.584, 469.903, 499.045 , OK
15, 0.067, 5, 10, 493.586, 479.631, 379.770, 461.052, 498.211 , OK
33, 0.030, 5, 10, 443.888, 446.272, 150.767, 434.566, 457.979 , OK
20, 0.050, 5, 10, 481.773, 488.328, 210.641, 474.491, 502.165 , OK
100, 0.010, 5, 10, 498.800, 500.815, 46.730, 494.297, 507.332 , OK
90, 0.011, 5, 10, 494.106, 495.858, 224.544, 481.571, 510.144 , OK
80, 0.013, 5, 10, 487.970, 495.888, 382.875, 477.233, 514.544 , OK
40, 0.025, 5, 10, 448.834, 448.477, 83.143, 439.784, 457.170 , OK
